year,state_abbr,state_name,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,rape,total_crime,violet_crime_rate_per_100000,number_of_registered_weapons,weapon_owned_per_100,total_cases_of_officers_assaulted,number_of_officers_employed,officer_assault_rate_per_100,officers_feloniously_killed,officer_feloniously_killed_rate_per_100
2020,AL,Alabama,4921532,22322,471,2666,17577,105161,19660,74575,10926,1608,254966,453.5579572,194920,3.960555372,0,212,0,2,0.943396226
2020,AK,Alaska,731158,6126,49,712,4233,16528,2775,11784,1969,1132,45308,837.8490012,28237,3.861955966,813,1259,64.57505957,0,0
2020,AZ,Arizona,7421401,35980,513,6211,25993,165323,24488,122898,17937,3263,402606,484.8141207,258691,3.48574346,2583,9407,27.45827575,3,0.031891145
2020,AR,Arkansas,3030522,20363,321,1577,16239,79200,15854,55413,7933,2226,199126,671.9304463,133981,4.421053535,410,5747,7.134156951,3,0.052201148
2020,CA,California,39368078,174026,2203,44728,113646,842054,145529,528202,168323,13449,2032160,442.0485044,406360,1.032206856,11599,71668,16.18435006,2,0.002790646
2020,CO,Colorado,5807719,24570,294,3964,16660,164582,23246,110884,30452,3652,378304,423.0576583,149382,2.572128576,1574,11114,14.1623178,0,0
2020,CT,Connecticut,3557006,6459,140,2033,3692,55670,6656,40592,8422,594,124258,181.5852995,74874,2.104972553,527,6781,7.771715086,0,0
2020,DE,Delaware,986809,4262,73,700,3228,19355,2508,15182,1665,261,47234,431.8971554,6092,0.617343376,396,2698,14.67753892,0,0
2020,DC,District of Columbia,712816,7127,201,2373,4242,24899,1964,19536,3399,311,64052,999.8372652,74315,10.42555162,1180,4186,28.1892021,0,0
2020,FL,Florida,21733312,83368,1290,13521,60871,384556,52293,293992,38271,7686,935848,383.5954686,518725,2.386773815,5711,41898,13.63072223,2,0.004773498
2020,GA,Georgia,10710017,42850,943,7016,31471,214988,31139,158343,25506,3420,515676,400.0927356,304124,2.83962201,694,14637,4.741408759,0,0
2020,HI,Hawaii,1407006,3576,41,867,2099,33928,4630,23954,5344,569,75008,254.1566987,9280,0.659556534,24,574,4.181184669,2,0.348432056
2020,ID,Idaho,1826913,4432,41,174,3385,20313,3731,14815,1767,832,49490,242.5950223,76425,4.183286232,709,2751,25.77244638,0,0
2020,IL,Illinois,12587530,53612,1151,12261,35110,196287,31020,143935,21332,5090,499798,425.9135827,144749,1.149939663,132,289,45.67474048,0,0
2020,IN,Indiana,6754953,24161,505,4215,17093,120453,18938,86080,15435,2348,289228,357.6782844,157546,2.332303422,1141,6396,17.83927455,1,0.015634772
2020,IA,Iowa,3163561,9601,111,943,7258,53725,11739,35751,6235,1289,126652,303.4871147,54178,1.712563785,692,4343,15.93368639,0,0
