state,Rate10,Number,Average
New Mexico,0.459191429,0,0.235
Tennessee,0.45322859,2,0.235
South Carolina,0.452570425,2,0.235
Alaska,0.435287153,3,0.235
Louisiana,0.413819895,3,0.235
Florida,0.371874986,13,0.235
Arkansas,0.344572592,0,0.235
Nevada,0.338765806,3,0.235
Maryland,0.334835359,1,0.235
Missouri,0.334538232,2,0.235
Michigan,0.324056131,5,0.235
Oklahoma,0.323790608,2,0.235
Massachusetts,0.295177111,1,0.235
Illinois,0.285658754,7,0.235
California,0.27338711,28,0.235
Arizona,0.270361563,3,0.235
Kansas,0.268628701,1,0.235
Alabama,0.267199974,1,0.235
Texas,0.259639342,20,0.235
Montana,0.241875077,0,0.235
New York,0.236125855,10,0.235
North Carolina,0.232951162,7,0.235
Georgia,0.230507693,3,0.235
West Virginia,0.223185356,0,0.235
Pennsylvania,0.206513056,9,0.235
Iowa,0.203635556,1,0.235
Colorado,0.197201274,9,0.235
Indiana,0.197056621,2,0.235
Nebraska,0.176966198,1,0.235
South Dakota,0.174019375,0,0.235
Wyoming,0.171949531,0,0.235
Washington,0.171006563,8,0.235
Idaho,0.160254216,1,0.235
New Jersey,0.158185614,5,0.235
Mississippi,0.153783059,3,0.235
Oregon,0.153721963,4,0.235
Connecticut,0.148743201,3,0.235
Rhode Island,0.147366689,1,0.235
Wisconsin,0.14704871,5,0.235
Hawaii,0.138803534,1,0.235
Ohio,0.138337172,3,0.235
Minnesota,0.133824581,2,0.235
North Dakota,0.125695191,0,0.235
Kentucky,0.124609371,5,0.235
Virginia,0.124323628,3,0.235
Utah,0.120492796,1,0.235
New Hampshire,0.099661802,1,0.235
Maine,0.06200986,0,0.235
