State,Rate,Rate10,Number,State_avr_rate,State_avr_shootings
Alabama,0.49,4.9,1,3.73,3.85
Alaska,0.59,5.9,3,3.73,3.85
Arizona,0.61,6.1,3,3.73,3.85
California,0.53,5.3,28,3.73,3.85
Colorado,0.35,3.5,9,3.73,3.85
Connecticut,0.42,4.2,3,3.73,3.85
Delaware,0.66,6.6,0,3.73,3.85
Florida,0.47,4.7,13,3.73,3.85
Georgia,0.52,5.2,3,3.73,3.85
Hawaii,0.36,3.6,1,3.73,3.85
Idaho,0.43,4.3,1,3.73,3.85
Illinois,0.34,3.4,7,3.73,3.85
Indiana,0.38,3.8,2,3.73,3.85
Iowa,0.29,2.9,1,3.73,3.85
Kansas,0.33,3.3,1,3.73,3.85
Kentucky,0.27,2.7,5,3.73,3.85
Louisiana,0.32,3.2,3,3.73,3.85
Maine,0.18,1.8,0,3.73,3.85
Maryland,0.34,3.4,1,3.73,3.85
Massachusetts,0.13,1.3,1,3.73,3.85
Michigan,0.41,4.1,5,3.73,3.85
Minnesota,0.17,1.7,2,3.73,3.85
Mississippi,0.46,4.6,3,3.73,3.85
Missouri,0.53,5.3,2,3.73,3.85
Montana,0.31,3.1,0,3.73,3.85
Nebraska,0.27,2.7,1,3.73,3.85
Nevada,0.47,4.7,3,3.73,3.85
New Hampshire,0.19,1.9,1,3.73,3.85
New Jersey,0.22,2.2,5,3.73,3.85
New Mexico,0.34,3.4,0,3.73,3.85
New York,0.25,2.5,10,3.73,3.85
North Carolina,0.35,3.5,7,3.73,3.85
North Dakota,0.22,2.2,0,3.73,3.85
Ohio,0.45,4.5,3,3.73,3.85
Oklahoma,0.67,6.7,2,3.73,3.85
Oregon,0.36,3.6,4,3.73,3.85
Pennsylvania,0.38,3.8,9,3.73,3.85
Rhode Island,0.27,2.7,1,3.73,3.85
South Carolina,0.41,4.1,2,3.73,3.85
South Dakota,0.44,4.4,0,3.73,3.85
Tennessee,0.32,3.2,2,3.73,3.85
Texas,0.54,5.4,20,3.73,3.85
Utah,0.15,1.5,1,3.73,3.85
Virginia,0.36,3.6,3,3.73,3.85
Washington,0.24,2.4,8,3.73,3.85
West Virginia,0.32,3.2,0,3.73,3.85
Wisconsin,0.4,4,5,3.73,3.85
Wyoming,0.4,4,0,3.73,3.85
