State,Rate,Rate10,Number,State_avr_rate,State_avr_shootings,,Full State (Total no. of mass shootings (2) Summary.csv)
Alaska,0.740242855,7.40242855,3,3.73,3.85,,Alabama
Oklahoma,0.650710368,6.50710368,2,3.73,3.85,,Alaska
Texas,0.638288395,6.38288395,20,3.73,3.85,,Arizona
Arizona,0.591726438,5.91726438,3,3.73,3.85,,California
Alabama,0.550454449,5.50454449,1,3.73,3.85,,Colorado
Georgia,0.543692617,5.43692617,3,3.73,3.85,,Connecticut
Mississippi,0.535591075,5.35591075,3,3.73,3.85,,Florida
Missouri,0.519246305,5.19246305,2,3.73,3.85,,Georgia
Connecticut,0.506664411,5.06664411,3,3.73,3.85,,Hawaii
Florida,0.50086524,5.0086524,13,3.73,3.85,,Idaho
South Carolina,0.498655128,4.98655128,2,3.73,3.85,,Illinois
California,0.472389881,4.72389881,28,3.73,3.85,,Indiana
Nevada,0.472341667,4.72341667,3,3.73,3.85,,Iowa
Michigan,0.465743785,4.65743785,5,3.73,3.85,,Kansas
Idaho,0.443864363,4.43864363,1,3.73,3.85,,Kentucky
Louisiana,0.426195214,4.26195214,3,3.73,3.85,,Louisiana
Ohio,0.426164305,4.26164305,3,3.73,3.85,,Maine
Colorado,0.419730569,4.19730569,9,3.73,3.85,,Maryland
South Dakota,0.413456911,4.13456911,0,3.73,3.85,,Massachusetts
Hawaii,0.403819042,4.03819042,1,3.73,3.85,,Michigan
North Carolina,0.401875939,4.01875939,7,3.73,3.85,,Minnesota
Wisconsin,0.396344535,3.96344535,5,3.73,3.85,,Mississippi
Virginia,0.395339661,3.95339661,3,3.73,3.85,,Missouri
Maryland,0.394765965,3.94765965,1,3.73,3.85,,Montana
Indiana,0.394310997,3.94310997,2,3.73,3.85,,Nebraska
Wyoming,0.366237748,3.66237748,0,3.73,3.85,,Nevada
Pennsylvania,0.364471368,3.64471368,9,3.73,3.85,,New Hampshire
Illinois,0.358086321,3.58086321,7,3.73,3.85,,New Jersey
Oregon,0.353760646,3.53760646,4,3.73,3.85,,New Mexico
New Mexico,0.328151524,3.28151524,0,3.73,3.85,,New York
Kansas,0.32379443,3.2379443,1,3.73,3.85,,North Carolina
Tennessee,0.315828317,3.15828317,2,3.73,3.85,,North Dakota
Rhode Island,0.312457867,3.12457867,1,3.73,3.85,,Ohio
Kentucky,0.311590323,3.11590323,5,3.73,3.85,,Oklahoma
Montana,0.30929257,3.0929257,0,3.73,3.85,,Oregon
New York,0.304078126,3.04078126,10,3.73,3.85,,Pennsylvania
Iowa,0.289758942,2.89758942,1,3.73,3.85,,Rhode Island
New Jersey,0.273976606,2.73976606,5,3.73,3.85,,South Carolina
West Virginia,0.262822341,2.62822341,0,3.73,3.85,,South Dakota
Washington,0.255540405,2.55540405,8,3.73,3.85,,Tennessee
Nebraska,0.251725665,2.51725665,1,3.73,3.85,,Texas
North Dakota,0.205164913,2.05164913,0,3.73,3.85,,Utah
New Hampshire,0.198335024,1.98335024,1,3.73,3.85,,Virginia
Utah,0.185922338,1.85922338,1,3.73,3.85,,Washington
Minnesota,0.166457632,1.66457632,2,3.73,3.85,,West Virginia
Massachusetts,0.159830861,1.59830861,1,3.73,3.85,,Wisconsin
Maine,0.154285934,1.54285934,0,3.73,3.85,,Wyoming
